pair	system	id	is_constrained	metric	score
cs-uk	CUNI-Transformer	64	True	bleu-all	30.18356437285921
cs-uk	CUNI-Transformer	64	True	chrf-all	57.44818545838475
cs-uk	CUNI-Transformer	64	True	bleu-refA	30.18356437285921
cs-uk	CUNI-Transformer	64	True	chrf-refA	57.44818545838475
cs-uk	ONLINE-Y	379	False	bleu-all	24.20796144374109
cs-uk	ONLINE-Y	379	False	chrf-all	53.40449620867456
cs-uk	ONLINE-Y	379	False	bleu-refA	24.20796144374109
cs-uk	ONLINE-Y	379	False	chrf-refA	53.40449620867456
cs-uk	CUNI-GA	261	True	bleu-all	29.500797364257565
cs-uk	CUNI-GA	261	True	chrf-all	57.92983499476213
cs-uk	CUNI-GA	261	True	bleu-refA	29.500797364257565
cs-uk	CUNI-GA	261	True	chrf-refA	57.92983499476213
cs-uk	ONLINE-W	405	False	bleu-all	26.751420308600956
cs-uk	ONLINE-W	405	False	chrf-all	55.02903180265689
cs-uk	ONLINE-W	405	False	bleu-refA	26.751420308600956
cs-uk	ONLINE-W	405	False	chrf-refA	55.02903180265689
cs-uk	GPT4-5shot	393	False	bleu-all	32.75974184931291
cs-uk	GPT4-5shot	393	False	chrf-all	60.96496451832441
cs-uk	GPT4-5shot	393	False	bleu-refA	32.75974184931291
cs-uk	GPT4-5shot	393	False	chrf-refA	60.96496451832441
cs-uk	NLLB_Greedy	323	False	bleu-all	24.92971368853127
cs-uk	NLLB_Greedy	323	False	chrf-all	52.52476502118706
cs-uk	NLLB_Greedy	323	False	bleu-refA	24.92971368853127
cs-uk	NLLB_Greedy	323	False	chrf-refA	52.52476502118706
cs-uk	ONLINE-G	365	False	bleu-all	24.83152284923729
cs-uk	ONLINE-G	365	False	chrf-all	53.654982074022726
cs-uk	ONLINE-G	365	False	bleu-refA	24.83152284923729
cs-uk	ONLINE-G	365	False	chrf-refA	53.654982074022726
cs-uk	MUNI-NLP	283	True	bleu-all	28.344012838094926
cs-uk	MUNI-NLP	283	True	chrf-all	56.952313932323115
cs-uk	MUNI-NLP	283	True	bleu-refA	28.344012838094926
cs-uk	MUNI-NLP	283	True	chrf-refA	56.952313932323115
cs-uk	ONLINE-B	351	False	bleu-all	25.721318553669036
cs-uk	ONLINE-B	351	False	chrf-all	54.729516161285005
cs-uk	ONLINE-B	351	False	bleu-refA	25.721318553669036
cs-uk	ONLINE-B	351	False	chrf-refA	54.729516161285005
cs-uk	Lan-BridgeMT	187	False	bleu-all	27.459919204807832
cs-uk	Lan-BridgeMT	187	False	chrf-all	55.71193626460814
cs-uk	Lan-BridgeMT	187	False	bleu-refA	27.459919204807832
cs-uk	Lan-BridgeMT	187	False	chrf-refA	55.71193626460814
cs-uk	NLLB_MBR_BLEU	308	False	bleu-all	25.12404920920366
cs-uk	NLLB_MBR_BLEU	308	False	chrf-all	52.253769548374926
cs-uk	NLLB_MBR_BLEU	308	False	bleu-refA	25.12404920920366
cs-uk	NLLB_MBR_BLEU	308	False	chrf-refA	52.253769548374926
cs-uk	ONLINE-A	337	False	bleu-all	25.412745071358383
cs-uk	ONLINE-A	337	False	chrf-all	54.41151807547001
cs-uk	ONLINE-A	337	False	bleu-refA	25.412745071358383
cs-uk	ONLINE-A	337	False	chrf-refA	54.41151807547001
cs-uk	GTCOM_Peter	257	False	bleu-all	29.806543742233934
cs-uk	GTCOM_Peter	257	False	chrf-all	57.57907212663112
cs-uk	GTCOM_Peter	257	False	bleu-refA	29.806543742233934
cs-uk	GTCOM_Peter	257	False	chrf-refA	57.57907212663112
de-en	ONLINE-Y	380	False	bleu-all	43.92890886853397
de-en	ONLINE-Y	380	False	chrf-all	68.35631187179729
de-en	ONLINE-Y	380	False	bleu-refA	43.92890886853397
de-en	ONLINE-Y	380	False	chrf-refA	68.35631187179729
de-en	ZengHuiMT	95	False	bleu-all	40.771583301306585
de-en	ZengHuiMT	95	False	chrf-all	67.59242924244847
de-en	ZengHuiMT	95	False	bleu-refA	40.771583301306585
de-en	ZengHuiMT	95	False	chrf-refA	67.59242924244847
de-en	AIRC	123	True	bleu-all	32.35148698594663
de-en	AIRC	123	True	chrf-all	57.21259362278398
de-en	AIRC	123	True	bleu-refA	32.35148698594663
de-en	AIRC	123	True	chrf-refA	57.21259362278398
de-en	ONLINE-W	406	False	bleu-all	51.76456278978674
de-en	ONLINE-W	406	False	chrf-all	72.06793090785601
de-en	ONLINE-W	406	False	bleu-refA	51.76456278978674
de-en	ONLINE-W	406	False	chrf-refA	72.06793090785601
de-en	GPT4-5shot	394	False	bleu-all	47.87291473242058
de-en	GPT4-5shot	394	False	chrf-all	69.84498226513047
de-en	GPT4-5shot	394	False	bleu-refA	47.87291473242058
de-en	GPT4-5shot	394	False	chrf-refA	69.84498226513047
de-en	NLLB_Greedy	324	False	bleu-all	33.14027329766985
de-en	NLLB_Greedy	324	False	chrf-all	57.25974554270869
de-en	NLLB_Greedy	324	False	bleu-refA	33.14027329766985
de-en	NLLB_Greedy	324	False	chrf-refA	57.25974554270869
de-en	ONLINE-G	366	False	bleu-all	45.99137346363894
de-en	ONLINE-G	366	False	chrf-all	69.10263899881292
de-en	ONLINE-G	366	False	bleu-refA	45.99137346363894
de-en	ONLINE-G	366	False	chrf-refA	69.10263899881292
de-en	ONLINE-M	415	False	bleu-all	41.32952821465103
de-en	ONLINE-M	415	False	chrf-all	66.46401446979982
de-en	ONLINE-M	415	False	bleu-refA	41.32952821465103
de-en	ONLINE-M	415	False	chrf-refA	66.46401446979982
de-en	ONLINE-B	352	False	bleu-all	46.33166470035551
de-en	ONLINE-B	352	False	chrf-all	69.13666613461893
de-en	ONLINE-B	352	False	bleu-refA	46.33166470035551
de-en	ONLINE-B	352	False	chrf-refA	69.13666613461893
de-en	Lan-BridgeMT	171	False	bleu-all	42.05531054856865
de-en	Lan-BridgeMT	171	False	chrf-all	66.7019510387048
de-en	Lan-BridgeMT	171	False	bleu-refA	42.05531054856865
de-en	Lan-BridgeMT	171	False	chrf-refA	66.7019510387048
de-en	NLLB_MBR_BLEU	309	False	bleu-all	32.36326277401236
de-en	NLLB_MBR_BLEU	309	False	chrf-all	57.628642047957456
de-en	NLLB_MBR_BLEU	309	False	bleu-refA	32.36326277401236
de-en	NLLB_MBR_BLEU	309	False	chrf-refA	57.628642047957456
de-en	ONLINE-A	338	False	bleu-all	47.86900413295061
de-en	ONLINE-A	338	False	chrf-all	70.0046934844254
de-en	ONLINE-A	338	False	bleu-refA	47.86900413295061
de-en	ONLINE-A	338	False	chrf-refA	70.0046934844254
de-en	GTCOM_Peter	243	False	bleu-all	42.237786925441526
de-en	GTCOM_Peter	243	False	chrf-all	66.58408212050048
de-en	GTCOM_Peter	243	False	bleu-refA	42.237786925441526
de-en	GTCOM_Peter	243	False	chrf-refA	66.58408212050048
en-cs	CUNI-Transformer	54	True	bleu-all	41.44079453455802
en-cs	CUNI-Transformer	54	True	chrf-all	63.92717955956259
en-cs	CUNI-Transformer	54	True	bleu-refA	41.44079453455802
en-cs	CUNI-Transformer	54	True	chrf-refA	63.92717955956259
